observation_date,labor_hours_index,gdp,deflator,investment_nominal,investment_real,capital,labor_growth,gdp_growth,capital_growth
1994-07-01,4.5,11152.176,65.737,375147500000.0,22827174954.743904,410109198140.0194,0.045,0.005828824899406726,0.005258279780857578
1994-10-01,3.9,11279.932,66.093,383267250000.0,23195633425.627525,412430913187.7623,0.039,0.011390581866788096,0.005645247402831899
1995-01-01,3.7,11319.951,66.452,393343750000.0,23676864503.70192,415005000954.0017,0.037000000000000005,0.0035415264608129604,0.006221862082984586
1995-04-01,1.9,11353.721,66.771,395156000000.0,23672312830.42039,417931615410.0035,0.019,0.002978787465089283,0.0070272489936371585
1995-07-01,1.9,11450.31,67.1,399760000000.0,23830700447.09389,420707347469.9237,0.019,0.008471272260706542,0.006619635668563717
1995-10-01,1.8,11528.067,67.423,405743500000.0,24071518621.24201,423502680543.52136,0.018000000000000002,0.006767866746930196,0.006622388260854706
1996-01-01,1.5,11614.418,67.747,416321750000.0,24580970375.07196,426399065137.5873,0.015,0.007462586731000087,0.006815836822450905
1996-04-01,2.6,11808.14,68.028,426405000000.0,25072323161.05133,429660082255.77985,0.026000000000000002,0.016541866808907457,0.007618709295602599
1996-07-01,2.2,11914.063,68.251,436075000000.0,25557134693.997154,433249401304.0422,0.022000000000000002,0.008930342932712776,0.008319157032190105
1996-10-01,3.1,12037.775,68.615,442412750000.0,25791022371.201633,437144065932.83716,0.031,0.010330155049368628,0.008949264370166077
1997-01-01,3.8,12115.472,69.025,447993500000.0,25961231437.884823,441077885007.3969,0.038,0.006433691338076031,0.008958658754107063
1997-04-01,3.3,12317.221,69.162,456454000000.0,26399120904.542953,444985222194.91187,0.033,0.01651505100267414,0.008819603216828398
1997-07-01,3.1,12471.01,69.464,472195000000.0,27190775077.73811,449135081989.7092,0.031,0.012408386319378906,0.00928262018826942
1997-10-01,2.4,12577.495,69.695,474636500000.0,27240777674.151665,453869102967.96185,0.024,0.008502355049371246,0.010485143763141025
1998-01-01,2.2,12703.742,69.794,484615500000.0,27774049345.215923,458416425493.7154,0.022000000000000002,0.009987489886350787,0.009969159971969788
1998-04-01,2.2,12821.339,69.959,499875000000.0,28581026029.53158,463269653564.24554,0.022000000000000002,0.009214296481921735,0.010531292673121584
1998-07-01,1.8,12982.752,70.255,510845500000.0,29085218133.940647,468687196915.5648,0.018000000000000002,0.01251081507693641,0.011626298734483953
